TPL_names,invasion.status.2022,bg_num,chklst_prov_num,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,hab_suit_mean,X1,X2,X3,X4,X5,X6,X7,X8,X9,no.NativeRange.level03,lf_short.herb,lf_long.herb,lf_woody,prop_type.seed.v2,prop_type.veg.v2,prop_type.both.v2,max.height.new2023,pd.mean.to_native,pd.min.to_native,pd.wmean.to_native
Rudbeckia hirta,0,17,15,0,1,0,0,0,0,0,1,1,0,3,0.259,0,0,0,0,0,0,1,0,0,25,0,1,0,1,1,1,1.2,232.694932,90.519268,43.451
Rudbeckia laciniata,0,13,13,0,1,0,0,0,0,0,1,1,0,3,0.206,0,0,0,0,0,0,1,0,0,51,0,1,0,1,1,1,3,232.694932,90.519268,43.451
Ruellia tuberosa,0,2,3,0,1,0,0,0,0,0,1,0,0,2,0.166,0,0,0,0,0,0,1,1,0,28,0,1,0,1,1,1,0.7,231.6341738,18.840415,43.556
Salix fragilis,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,25,250.9986284,5.07072,46.797
Salvia lyrata,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0.136,0,0,0,0,0,0,1,0,0,12,0,1,0,1,1,1,0.6,230.6051307,19.533524,43.382
Saponaria officinalis,0,11,12,0,1,0,0,0,0,0,1,1,0,3,0.266,1,0,1,0,0,0,0,0,0,34,0,1,0,1,1,1,1,251.553654,44.063135,46.85
Scoparia dulcis,1,8,8,1,0,0,0,1,0,1,1,1,1,6,0.16,0,0,0,0,0,0,1,1,0,52,0,0,1,1,1,1,1.5,232.7806875,71.610003,43.739
Securigera varia,1,4,8,1,1,0,0,0,0,0,1,1,0,4,0.187,1,0,1,0,0,0,0,0,0,28,0,1,0,1,1,1,1.25,247.0079637,46.503039,45.966
Senecio vulgaris,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0.281,1,1,1,1,0,0,0,0,0,73,0,1,0,1,0,0,0.785,229.1007378,0.89343,42.762
Sherardia arvensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,1,1,1,0,0,0,0,0,0,60,1,0,0,1,0,0,0.4,235.7395911,13.736096999999999,44.147
Sicyos angulatus,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0.261,0,0,0,0,0,0,1,0,0,36,1,0,0,1,0,0,10,251.0339698,37.318512,46.833
Sida spinosa,0,0,1,1,0,0,1,1,0,1,1,0,0,5,0.26,0,1,1,1,0,0,1,1,0,109,0,0,1,1,0,0,2,251.7567037,4.532582,46.923
Silene gallica,1,3,3,0,0,0,0,0,0,0,1,0,0,1,0.245,1,1,1,0,0,0,0,0,0,37,1,0,0,1,1,1,0.75,251.3116791,15.454683,46.809
Silphium perfoliatum,1,7,9,0,0,0,0,0,0,0,1,0,0,1,0.15,0,0,0,0,0,0,1,0,0,34,0,1,0,1,0,0,3,232.694932,90.519268,43.451
Sinapis alba,0,3,6,1,1,1,1,1,0,0,1,1,0,7,0.243,1,1,1,1,0,0,0,0,0,57,0,1,0,1,0,0,2.2,250.9212811,42.796182,46.691
Sisymbrium altissimum,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.381,1,0,1,1,0,0,0,0,0,34,1,0,0,1,0,0,1.6,250.9146873,19.962532,46.689
Sisymbrium orientale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,1,1,1,1,0,0,0,0,0,36,0,1,0,1,0,0,1.3,250.9144819,19.105678,46.689
Solanum carolinense,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0.211,0,0,0,0,0,0,1,1,0,49,0,0,1,1,1,1,1.2,238.6544173,12.884888,44.654
Solanum diphyllum,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.182,0,0,0,0,0,0,1,1,0,11,0,0,1,1,0,0,2,238.6564971,20.107388,44.655
Solanum mammosum,0,10,7,0,1,0,1,1,0,0,1,1,1,6,0.15,0,0,0,0,0,0,0,1,0,22,0,0,1,1,1,1,2,238.6549438,14.152038,44.654
Solanum pseudocapsicum,1,20,15,0,1,0,0,0,0,1,1,1,0,4,0.247,0,0,0,0,0,0,0,1,0,12,0,0,1,1,1,1,2,238.6564971,20.107388,44.655
Solidago altissima,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0.27,0,0,0,0,0,0,1,0,0,55,0,1,0,1,1,1,1.8,229.0825868,0.997268,42.746
Solidago canadensis,1,9,8,0,1,0,0,0,1,0,1,0,0,3,0.2,0,0,0,0,0,0,1,0,0,57,0,1,0,1,1,1,2.5,229.0825618,0.603712,42.746
Sonchus arvensis,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.209,1,0,1,0,0,0,0,0,0,60,0,1,0,1,0,0,2,229.7997947,6.266257,42.902
Sonchus oleraceus,0,10,13,1,0,0,1,1,0,1,1,0,0,5,0.282,1,1,1,0,0,0,0,0,0,73,0,1,0,1,0,0,3,229.7997947,6.266257,42.902
Stachys arvensis,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0.18,1,1,1,0,0,0,0,0,0,35,0,1,0,1,1,1,0.6,230.5994838,20.618196,43.382
Symphytum officinale,1,7,10,1,1,0,1,1,0,1,1,1,0,7,0.178,1,0,1,0,0,0,0,0,0,31,0,1,0,1,1,1,1.5,238.0760391,33.382714,44.597
Tagetes erecta,1,24,22,1,1,0,0,1,0,1,1,1,1,7,0.278,0,0,0,0,0,0,1,1,0,8,0,0,1,1,1,1,1.8,229.5144614,25.758891,42.829
Tagetes minuta,1,0,2,0,1,0,0,1,0,1,1,1,0,5,0.252,0,0,0,0,0,0,0,1,0,11,1,0,0,1,0,0,3,229.5144614,25.758891,42.829
Tamarindus indica,0,13,10,1,1,1,1,1,1,1,1,1,1,10,0.115,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,25,249.8938142,80.403415,46.533
Tectona grandis,0,17,13,0,1,1,0,1,0,1,1,0,1,6,0.116,0,0,0,1,0,0,0,0,0,8,0,0,1,1,1,1,50,230.7937198,58.988045,43.414
Tragopogon porrifolius,0,2,4,0,1,0,0,1,0,0,1,0,0,3,0.249,1,1,1,1,0,0,0,0,0,27,1,0,0,1,0,0,1.8,230.1042641,2.890472,42.959
Tridax procumbens,1,4,4,1,1,0,1,1,0,1,1,0,0,6,0.167,0,0,0,0,0,0,1,1,0,32,0,1,0,1,0,0,0.5,229.5145018,16.411605,42.828
Trifolium alexandrinum,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0.208,0,1,1,1,0,0,0,0,0,7,0,1,0,1,0,0,0.7,246.0307079,18.734706,45.774
Trifolium hybridum,1,4,6,1,1,0,0,0,1,0,1,1,0,5,0.246,1,1,1,0,0,0,0,0,0,19,0,1,0,1,1,1,0.9,246.0307079,18.734706,45.774
Trifolium incarnatum,0,3,6,1,1,0,1,1,1,0,0,1,0,6,0.251,1,0,1,0,0,0,0,0,0,30,1,0,0,1,0,0,1,246.0307079,18.734706,45.774
Trifolium pratense,1,10,14,1,1,0,1,1,1,0,1,1,0,7,0.311,1,1,1,1,0,0,0,0,0,66,0,1,0,1,1,1,1,246.0307079,18.734706,45.774
Trifolium repens,1,11,18,1,1,0,1,1,1,0,1,1,1,8,0.399,1,1,1,1,0,0,0,0,0,77,0,1,0,1,1,1,0.73,246.0307079,18.734706,45.774
Trifolium resupinatum,0,0,2,1,1,0,0,0,1,0,0,0,0,3,0.259,1,1,1,1,0,0,0,0,0,44,1,0,0,1,0,0,0.6,246.0307079,18.734706,45.774
Trifolium rubens,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.108,1,0,0,0,0,0,0,0,0,15,0,1,0,1,1,1,0.6,246.0307079,18.734706,45.774
Trigonella foenum-graecum,0,3,9,1,1,0,1,1,0,1,1,1,1,8,0.246,0,0,1,1,0,0,0,0,0,4,1,0,0,1,0,0,0.8,246.0279195,15.100936,45.773
Tropaeolum majus,0,21,19,0,1,0,1,1,0,1,1,0,0,5,0.229,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,3,252.5692844,142.218162,47.045
Turnera ulmifolia,0,7,5,1,1,0,0,0,0,0,1,0,0,3,0.139,0,0,0,0,0,0,1,1,0,25,0,0,1,1,1,1,1.5,252.3163431,94.799417,47.018
Ulex europaeus,0,1,3,1,1,1,0,1,0,1,1,0,0,6,0.149,1,0,0,0,0,0,0,0,0,11,0,0,1,1,1,1,4,247.8768879,79.972395,46.13
Verbena bonariensis,1,3,4,0,1,0,0,0,0,0,1,0,0,2,0.248,0,0,0,0,0,0,0,1,0,13,0,0,1,1,1,1,2.5,232.0600607,7.773987,43.621
Veronica arvensis,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0.261,1,1,1,1,0,0,0,0,0,61,0,1,0,1,0,0,0.3,232.5136001,19.295626,43.684
Veronica hederifolia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,1,1,1,0,0,0,0,0,0,55,1,0,0,1,0,0,0.6,232.5217426,29.433182,43.685
Waltheria indica,1,3,3,1,0,0,0,1,0,1,1,0,1,5,0.137,0,0,0,0,0,0,1,1,0,46,0,0,1,1,1,1,4,251.926636,76.722266,46.954
Xanthium spinosum,1,2,2,0,0,0,0,0,0,0,1,1,0,2,0.215,0,0,0,0,0,0,1,1,0,60,1,0,0,1,0,0,1.2,229.5174928,5.123049,42.829
Yucca gloriosa,0,16,12,0,1,0,0,0,0,1,1,0,0,3,0.193,0,0,0,0,0,0,1,0,0,7,0,0,1,1,1,1,5,264.3544412,34.425699,49.151
Malva cathayensis,0,12,12,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.9,251.7607151,10.778835,46.924
Gomphrena celosioides,1,2,2,1,1,0,1,1,0,0,1,1,0,6,0.162,0,0,0,0,0,0,0,1,0,11,0,1,0,1,0,0,0.35,251.6972428,37.73692,46.868
Amaranthus dubius,1,0,6,1,0,0,1,1,0,0,1,0,0,4,0.159,0,0,0,0,0,0,1,1,0,13,1,0,0,1,0,0,1.5,251.7055988,8.69747,46.869
Passiflora morifolia,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0.139,0,0,0,0,0,0,1,1,0,14,0,1,0,1,1,1,12,252.2852909,27.467569,47.013
Abutilon theophrasti,1,14,16,1,0,1,1,1,0,1,1,0,0,6,0.329,0,0,1,0,0,0,0,0,0,6,0,0,1,1,1,1,2,251.7570146,2.937496,46.924
Euphorbia dentata,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0.293,0,0,0,0,0,0,1,1,0,25,0,0,1,1,1,1,0.6,251.8198387,20.98808801,46.921
Myriophyllum heterophyllum,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.26,0,0,0,0,0,0,1,1,0,12,0,1,0,1,1,1,1,255.5334285,21.772507,47.643
Plantago aristata,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.238,0,0,0,0,0,0,1,0,0,42,0,1,0,1,0,0,0.45,232.5863432,25.325956,43.696
Vallisneria americana,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.286,0,0,0,0,0,0,1,1,0,53,0,1,0,1,1,1,2,272.2880011,19.975364,50.654
Oenothera glazioviana,1,7,8,0,1,0,0,0,0,0,1,0,0,2,0.22,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2,253.7687892,36.167001,47.261
Ageratum houstonianum,1,8,11,0,1,0,0,0,0,1,1,0,0,3,0.263,0,0,0,0,0,0,1,1,0,9,0,1,0,1,0,0,1,229.5031065,8.923455,42.826
Datura innoxia,1,9,9,0,1,0,0,1,0,1,1,1,1,6,0.253,0,0,0,0,0,0,1,1,0,22,0,1,0,1,1,1,3,238.6663476,37.546427,44.658
Foeniculum vulgare,0,13,22,1,1,0,1,1,0,1,1,0,0,6,0.257,1,1,1,1,0,0,0,0,0,46,0,1,0,1,0,0,2.5,237.8890602,30.856869,44.521
Indigofera suffruticosa,1,8,7,0,1,0,0,1,0,1,1,1,0,5,0.158,0,1,0,0,0,0,1,1,0,53,0,0,1,1,0,0,3,247.0992021,11.690298,45.981
Pereskia aculeata,0,13,10,0,1,0,0,1,0,0,1,0,0,3,0.127,0,0,0,0,0,0,0,1,0,13,0,0,1,1,1,1,15,252.6770651,57.606335,47.087
Solanum americanum,1,22,16,1,1,0,1,1,0,1,1,1,0,7,0.334,1,1,1,1,0,0,1,1,0,212,0,0,1,1,0,0,1.5,238.6570153,7.360622,44.655
Xanthium strumarium,1,21,15,0,0,0,0,1,0,0,1,0,0,2,0.405,1,0,0,0,0,0,1,1,0,88,1,0,0,1,0,0,2,229.5174928,5.123049,42.829
Emilia praetermissa,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0.134,0,1,0,0,0,0,0,0,0,9,1,0,0,1,0,0,1.4,229.1189691,4.993655,42.765
Erigeron strigosus,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.259,0,0,0,0,0,0,1,0,0,57,0,1,0,1,0,0,1.2,229.072212,1.569866,42.745
Euphorbia cyathophora,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.309,0,0,0,0,0,0,1,1,0,61,0,1,0,1,1,1,2,251.8198387,20.98808801,46.921
Viola arvensis,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.144,1,1,1,0,0,0,0,0,0,51,1,0,0,1,0,0,0.5,251.8354576,14.819386,46.892
Bromus marginatus,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0.324,0,0,0,0,0,0,1,1,0,34,0,1,0,1,1,1,1.219,255.458762,13.085276,47.079
Coreopsis tinctoria,1,15,14,0,1,0,0,1,0,0,1,0,1,4,0.322,0,0,0,0,0,0,1,1,0,56,0,1,0,1,0,0,1.5,229.5158211,10.052647,42.828
Callitriche peploides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,1,1,0,15,0,0,1,NA,NA,NA,0.15,232.7818265,51.160266,43.739
Oenothera speciosa,1,4,6,0,1,0,0,0,0,0,0,0,0,1,0.274,0,0,0,0,0,0,1,0,0,6,0,0,1,1,1,1,1.2,253.7687892,36.167001,47.261
Spathodea campanulata,0,12,9,1,1,1,1,1,0,1,1,1,1,9,0.119,0,1,0,0,0,0,0,0,0,23,0,0,1,1,1,1,30,232.0524356,85.327672,43.621
Amaranthus standleyanus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0,0,0,0,1,0,6,1,0,0,1,0,0,0.7,251.7055988,8.69747,46.869
Agave sisalana,0,20,14,0,1,0,0,0,0,1,1,0,1,4,0.111,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,3,264.3544412,34.425699,49.151
Egeria densa,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0.294,0,0,0,0,0,0,0,1,0,5,0,0,1,1,1,1,1,272.2851101,48.517903,50.653
Veronica persica,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,1,0,0,0,0,0,0,3,0,1,0,1,1,1,0.6,232.5107426,16.612894,43.683
Hyptis brevipes,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0.116,0,0,0,0,0,0,1,1,0,23,0,1,0,1,0,0,1,230.6137255,26.477102,43.385
Trifolium aureum,0,1,1,1,0,0,0,1,0,0,1,0,0,3,0.137,1,1,1,0,0,0,0,0,0,38,1,0,0,1,1,1,0.5,246.0313793,25.503609,45.774
Sansevieria trifasciata,0,24,17,0,1,0,0,0,0,1,1,0,0,3,0.157,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1.8,263.8121846,44.17253,49.062
Clarkia pulchella,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.211,0,0,0,1,0,0,1,0,0,8,1,0,0,1,0,0,0.61,253.7690581,44.329174,47.261
Euphorbia marginata,1,16,15,0,1,0,0,0,0,0,1,1,0,3,0.275,0,0,0,0,0,0,1,0,0,17,1,0,0,1,0,0,1.5,251.8198387,20.98808801,46.921
Gaillardia aristata,0,7,9,0,1,0,1,0,0,0,1,0,0,3,0.238,0,0,0,0,0,0,1,0,0,19,0,1,0,1,1,1,0.8,229.5137601,24.836633,42.828
Praxelis clematidea,1,2,3,0,0,0,0,0,0,0,1,0,0,1,0.136,0,0,0,0,0,0,0,1,0,10,0,0,1,1,0,0,0.6,229.5031923,9.4430789999999991,42.826
Schinus terebinthifolia,0,4,3,0,1,0,1,1,1,1,1,1,0,7,0.141,0,0,0,0,0,0,0,1,0,6,0,0,1,1,1,1,13,252.6562959,42.998571,47.055
Ptilimnium costatum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,1,0,0,7,1,0,0,1,0,0,1.5,238.0301261,24.599549,44.543
Erigeron sumatrensis,0,3,4,0,0,0,0,1,1,1,1,0,1,5,0.217,0,0,0,0,0,0,1,1,0,23,1,0,0,1,0,0,2,229.0722441,1.80909,42.745
Bromus rigidus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,1,1,1,0,0,0,0,0,0,32,1,0,0,1,0,0,0.8,255.458762,13.085276,47.079
Vicia villosa,1,1,10,1,1,0,1,1,0,0,1,1,0,6,0.294,1,1,1,0,0,0,0,0,0,48,0,1,0,1,0,0,1.5,246.0056209,8.076134,45.765
Ammannia coccinea,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,1,1,0,49,0,0,1,1,0,0,1.1,253.8490612,19.31728,47.291
Spermadictyon suaveolens,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,1,0,0,0,0,0,6,0,0,1,1,1,1,3,235.7891416,15.257387,44.163
Dalbergia sissoo,0,5,6,1,1,1,0,1,0,1,1,1,0,7,0.269,0,0,1,1,0,0,0,0,0,10,0,0,1,1,0,0,12,247.8236482,6.208964,46.124
Galinsoga quadriradiata,1,5,4,0,0,0,1,1,0,0,1,0,0,3,0.266,1,0,0,0,0,0,1,1,0,24,1,0,0,1,0,0,1,229.5145018,16.411605,42.828
Amaranthus blitoides,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0.327,0,0,0,0,0,0,1,0,0,16,0,1,0,1,0,0,1,251.705452,4.255352,46.869
Amaranthus palmeri,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0.293,0,0,0,0,0,0,1,0,0,10,1,0,0,1,0,0,3,251.7056096,9.02271,46.869
Amaranthus powellii,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0.321,0,0,0,0,0,0,1,1,0,17,1,0,0,1,0,0,2,251.7055988,8.69747,46.869
Thunbergia affinis,0,2,2,0,0,0,1,1,0,0,0,0,0,2,NA,0,1,0,1,0,0,0,0,0,7,0,0,1,0,1,0,2,231.8004902,22.91127,43.581
Solanum chrysotrichum,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0.136,0,0,0,0,0,0,1,1,0,10,0,0,1,1,0,0,9,238.6544173,12.884888,44.654
Drymaria villosa,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0.185,0,0,0,0,0,0,1,1,0,15,1,0,0,1,1,1,0.45,251.836057,38.565214,46.904
Lepidium densiflorum,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0.358,0,0,0,0,0,0,1,0,0,61,1,0,0,1,0,0,0.65,250.8828528,10.484766,46.68
Mentha spicata,0,15,13,0,0,0,1,1,0,1,1,0,0,4,0.246,1,0,1,1,0,0,0,0,0,39,0,1,0,1,1,1,1.3,230.5534978,10.135659,43.372
Trifolium campestre,0,2,2,1,0,0,0,0,0,0,0,1,0,2,0.254,1,1,1,0,0,0,1,0,0,63,1,0,0,1,0,0,0.5,246.0313793,25.503609,45.774
Cabomba furcata,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,1,0,16,0,0,1,0,1,0,0.8,280.9944699,93.34543,52.348
Phyllanthus amarus,0,3,3,0,1,0,0,1,0,0,1,0,0,3,0.131,0,0,0,0,0,0,1,1,0,41,0,1,0,1,1,1,1,251.9270243,1.290234,46.93
Pennisetum setaceum,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.22,0,1,1,0,0,0,0,0,0,22,0,1,0,1,1,1,1.3,256.0562589,9.136491,47.205
Salvia splendens,0,25,19,0,1,0,0,0,0,0,0,0,1,2,0.294,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,6,230.6002828,32.857736,43.381
Trifolium dubium,0,0,0,1,1,0,0,0,1,0,1,0,0,4,0.221,1,1,1,0,0,0,0,1,0,41,1,0,0,1,1,1,0.6,246.0313793,25.503609,45.774
Casuarina glauca,0,3,2,1,1,0,0,1,0,1,0,0,0,4,0.09,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,25,251.9891856,169.544931,46.961
Passiflora edulis,0,17,13,1,1,0,1,1,1,1,1,1,0,8,0.163,0,0,0,0,0,0,1,1,0,27,0,1,0,1,1,1,25,252.2914104,42.892995,47.014
Eucalyptus robusta,1,14,11,1,1,1,0,1,0,1,1,0,0,6,0.192,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,55,253.7385652,71.986783,47.297
Euphorbia davidii,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,1,1,0,6,1,0,0,1,1,1,0.7,251.8247463,43.81515,46.922
Solanum torvum,1,11,9,0,1,0,1,1,0,1,1,1,1,7,0.157,0,0,0,0,0,0,1,1,0,28,0,0,1,1,0,0,6,238.6544173,12.884888,44.654
Tradescantia spathacea,0,18,12,0,1,0,0,0,0,0,1,1,0,3,0.154,0,0,0,0,0,0,1,1,0,5,0,0,1,1,1,1,1,264.6412147,47.934553,49.156
Hydrocotyle verticillata,1,3,4,0,0,0,0,0,0,0,1,0,0,1,0.096,0,1,0,0,0,0,1,1,0,69,0,0,1,1,1,1,0.45,239.1118126,25.592764,44.723
Nymphaea capensis,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,13,0,1,0,1,1,1,0.3,280.9895638,69.841712,52.345
Oenothera villosa,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.287,0,0,0,0,0,0,1,0,0,40,1,0,0,1,1,1,2,253.7687882,36.167,47.261
Salicornia bigelovii,0,0,5,0,0,1,0,1,0,0,0,0,0,2,0.207,0,0,0,0,0,0,1,1,0,27,1,0,0,1,1,1,0.6,251.6042637,5.991021,46.849
Sphaeralcea incana,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.229,0,0,0,0,0,0,1,0,0,4,0,0,1,1,1,1,0.9,251.7615831,19.120642,46.925
Euphorbia chamaeclada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0.1,251.8247463,43.81515,46.922
Salvia tiliifolia,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0.198,0,0,0,0,0,0,1,1,0,18,0,1,0,1,0,0,2.5,230.6002828,32.857736,43.381
Tradescantia fluminensis,1,13,10,0,1,0,0,0,0,0,1,0,0,2,0.234,0,0,0,0,0,0,0,1,0,6,0,0,1,1,1,1,0.9,264.6412147,47.934553,49.156
Verbena stricta,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0.189,0,0,0,0,0,0,1,0,0,39,0,1,0,1,1,1,1.2,232.0598317,4.32685,43.62
Nicotiana plumbaginifolia,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0.211,0,0,0,0,0,0,1,1,0,8,1,0,0,1,0,0,1,238.7112866,59.825419,44.67
Nasturtium officinale,1,11,10,0,1,0,1,1,0,0,1,0,0,4,0.333,1,1,1,1,0,0,0,1,0,58,0,1,0,1,1,1,2,250.8572165,30.353335,46.674
Plantago indica,0,5,5,0,0,0,0,1,0,0,1,0,0,2,0.263,1,1,1,1,0,0,0,0,0,44,1,0,0,1,1,1,0.6,232.5863435,25.334092,43.696
Diodella teres,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,0,0,0,1,1,0,69,0,1,0,1,0,0,0.9,235.8340251,13.972558,44.172
Ludwigia decurrens,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.228,0,0,0,0,0,0,1,1,0,32,0,1,0,1,0,0,2,253.8648684,37.735552,47.288
Ludwigia glandulosa,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0,0,1,0,0,15,0,1,0,1,1,1,1,253.8648694,37.735553,47.288
Cuscuta epilinum,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0.121,0,0,1,0,0,0,0,0,0,5,0,1,0,1,1,1,0.55,238.7037948,7.202122,44.673
Cleome rutidosperma var. burmannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,1,251.3847652,60.165334,46.791
Acacia decurrens,0,6,5,1,1,1,1,1,0,1,1,0,0,7,0.146,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,20,249.0357139,24.269077,46.359
Begonia cucullata,1,19,15,0,1,0,1,0,0,0,1,0,0,3,0.197,0,0,0,0,0,0,0,1,0,9,0,0,1,1,1,1,1,250.8282192,38.8427,46.822
Bougainvillea spectabilis,0,22,14,0,1,0,0,0,0,1,1,0,0,3,0.189,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,10,252.6469815,66.889622,47.081
Euphorbia pulcherrima,1,25,18,0,1,0,1,1,1,1,1,1,1,8,0.193,0,0,0,0,0,0,1,1,0,7,0,0,1,1,1,1,4.7,251.8198387,20.98808801,46.921
Caladium bicolor,0,17,12,0,1,0,1,1,0,0,1,1,0,5,0.142,0,0,0,0,0,0,0,1,0,18,0,1,0,1,1,1,0.9,272.4679335,132.132941,50.736
Canna flaccida,0,11,7,0,1,0,1,0,0,0,1,0,0,3,0.229,0,0,0,0,0,0,1,0,0,6,0,1,0,1,1,1,2,264.3323885,76.477392,49.135
Canna indica,0,22,17,1,1,0,0,1,0,0,0,0,0,3,0.201,0,0,0,0,0,0,1,1,0,42,0,1,0,1,1,1,5,264.3323885,76.477392,49.135
Carica papaya,0,17,15,1,1,0,1,1,1,1,1,1,1,9,0.191,0,0,0,0,0,0,1,1,0,12,0,0,1,1,1,1,10,252.4879472,157.978393,47.028
Cenchrus ciliaris,0,0,0,1,1,0,1,1,0,1,1,1,0,7,0.158,1,1,1,1,0,0,0,0,0,59,0,1,0,1,1,1,1.5,256.0558377,6.729829,47.205
Cenchrus echinatus,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0.204,0,0,0,0,0,0,1,1,0,71,1,0,0,1,0,0,1,256.0558377,6.729829,47.205
Chloris gayana,0,0,2,1,1,0,0,0,0,1,1,0,0,4,0.203,0,1,1,0,0,0,0,0,0,43,0,1,0,1,1,1,3,256.1290333,4.805434,47.223
Chrysopogon zizanioides,0,12,11,1,1,0,0,1,0,1,1,1,1,7,0.262,0,0,0,1,0,0,0,0,0,11,0,1,0,0,1,0,3,255.9793726,17.534918,47.19
Cymbopogon citratus,0,15,13,1,1,0,1,1,0,1,1,1,1,8,0.191,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,2,255.93318,0.025506,47.179
Cymbopogon nardus,0,6,6,1,1,0,0,1,0,1,1,0,0,5,0.138,0,1,0,1,0,0,0,0,0,29,0,1,0,1,1,1,2.5,255.9332782,1.676496,47.179
Cynosurus cristatus,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0.154,1,1,1,0,0,0,0,0,0,41,0,1,0,1,1,1,0.8,255.4830583,23.539332,47.08
