TPL_names,invasion.status.2022,bg_num,chklst_prov_num,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,hab_suit_mean,X1,X2,X3,X4,X5,X6,X7,X8,X9,no.NativeRange.level03,lf_short.herb,lf_long.herb,lf_woody,prop_type.seed.v2,prop_type.veg.v2,prop_type.both.v2,max.height.new2023,pd.mean.to_native,pd.min.to_native,pd.wmean.to_native
Digitalis purpurea,0,14,14,0,1,0,0,0,0,1,1,1,0,4,0.2,1,1,0,0,0,0,0,0,0,15,0,1,0,1,1,1,1.8,232.6060996,61.310865,43.702
Diodia virginiana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,1,1,0,27,0,0,1,1,0,0,0.8,235.8340251,13.972558,44.172
Duranta erecta,0,19,14,0,1,0,0,0,0,1,1,1,0,4,0.138,0,0,0,0,0,0,1,1,0,42,0,0,1,1,1,1,7,232.0629656,51.707991,43.622
Elaeocarpus serratus,0,11,9,0,1,0,0,1,0,1,1,0,0,4,0.12,0,0,0,1,0,0,0,0,0,4,0,0,1,1,1,1,20,253.03805,3.136676,47.159
Erigeron bonariensis,1,10,9,1,1,0,0,1,1,1,1,1,0,7,0.253,0,0,1,0,1,0,1,1,0,47,1,0,0,1,0,0,1.5,229.0761607,4.326929,42.745
Erigeron canadensis,1,18,13,0,0,1,0,1,0,1,1,1,0,5,0.418,0,0,1,0,0,0,1,1,0,99,1,0,0,1,0,0,2,229.0761607,4.326929,42.745
Erigeron philadelphicus,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0.338,0,0,0,0,0,0,1,0,0,59,0,1,0,1,0,0,0.9,229.0722498,1.812127,42.745
Eryngium foetidum,1,9,8,1,0,0,0,1,0,1,1,1,0,5,0.137,0,0,0,1,0,0,1,1,0,35,0,1,0,1,0,0,0.9,238.719315,30.845478,44.657
Erythrina corallodendron,0,13,11,0,1,0,0,0,0,1,1,0,0,3,NA,0,0,0,0,0,0,0,1,0,6,0,0,1,1,1,1,9,246.9424404,8.263476,45.932
Eupatorium cannabinum,0,4,5,0,1,0,0,0,0,1,1,0,0,3,0.143,1,1,1,1,0,0,0,0,0,56,0,1,0,1,1,1,1.8,229.4999168,2.157808,42.825
